Date,Currency,FX_to_Report_Ccy
2023-04-24,USD,0.9097300440538572
2023-04-25,EUR,1.0
2023-04-25,JPY,0.0067458173431200665
2023-04-25,USD,0.9042000107573462
2023-04-26,EUR,1.0
2023-04-26,JPY,0.00681268504991111
2023-04-26,USD,0.9108799811495824
2023-04-27,EUR,1.0
2023-04-27,JPY,0.006785227304493494
2023-04-27,USD,0.9052000122583772
2023-04-28,EUR,1.0
2023-04-28,JPY,0.006779109799111359
2023-04-28,USD,0.9064499700843485
2023-05-01,EUR,1.0
2023-05-01,JPY,0.006657922319024564
2023-05-01,USD,0.9081900287789194
2023-05-02,EUR,1.0
2023-05-02,JPY,0.006627695649047658
2023-05-02,USD,0.9116400321811254
2023-05-03,EUR,1.0
2023-05-03,JPY,0.006655284089010768
2023-05-03,USD,0.9081900287789194
2023-05-04,EUR,1.0
2023-05-04,JPY,0.006715195127057013
2023-05-04,USD,0.9034300282339115
2023-05-05,EUR,1.0
2023-05-05,JPY,0.006761599652345487
2023-05-05,USD,0.9071999941168213
2023-05-08,EUR,1.0
2023-05-08,JPY,0.006713076517046611
2023-05-08,USD,0.9075499916911317
2023-05-09,EUR,1.0
2023-05-09,JPY,0.006733190346189711
2023-05-09,USD,0.9094100093547094
2023-05-10,EUR,1.0
2023-05-10,JPY,0.006741679371094803
2023-05-10,USD,0.9120200377632427
2023-05-11,EUR,1.0
2023-05-11,JPY,0.00678932748715217
2023-05-11,USD,0.9104100140447807
2023-05-12,EUR,1.0
2023-05-12,JPY,0.006813731223796491
2023-05-12,USD,0.9164100784256018
2023-05-15,EUR,1.0
2023-05-15,JPY,0.006784490457705686
2023-05-15,USD,0.9214299538813138
2023-05-16,EUR,1.0
2023-05-16,JPY,0.006760273736621237
2023-05-16,USD,0.919650032088943
2023-05-17,EUR,1.0
2023-05-17,JPY,0.0067463180190596665
2023-05-17,USD,0.9203299738457844
2023-05-18,EUR,1.0
2023-05-18,JPY,0.006704974179056041
2023-05-18,USD,0.9226499648476923
2023-05-19,EUR,1.0
2023-05-19,JPY,0.006694784981518242
2023-05-19,USD,0.9280400678920303
2023-05-22,EUR,1.0
2023-05-22,JPY,0.006710823865858888
2023-05-22,USD,0.9239799589746505
2023-05-23,EUR,1.0
2023-05-23,JPY,0.00667066890515163
2023-05-23,USD,0.9249799480910825
2023-05-24,EUR,1.0
2023-05-24,JPY,0.006699808582739405
2023-05-24,USD,0.928529959579553
2023-05-25,EUR,1.0
2023-05-25,JPY,0.006674765686554894
2023-05-25,USD,0.9295999840423587
2023-05-26,EUR,1.0
2023-05-26,JPY,0.0066600509239428405
2023-05-26,USD,0.932449963646202
2023-05-29,EUR,1.0
2023-05-29,JPY,0.006620368401439033
2023-05-29,USD,0.9325700035496902
2023-05-30,EUR,1.0
2023-05-30,JPY,0.006650218362501438
2023-05-30,USD,0.9339100563289084
2023-05-31,EUR,1.0
2023-05-31,JPY,0.006666133668918481
2023-05-31,USD,0.9316999481648963
2023-06-01,EUR,1.0
2023-06-01,JPY,0.006722101575779756
2023-06-01,USD,0.9350000273078688
2023-06-02,EUR,1.0
2023-06-02,JPY,0.006698192542782538
2023-06-02,USD,0.9292999969092047
2023-06-05,EUR,1.0
2023-06-05,JPY,0.006667599957025235
