Date,Security,Price,Price_Currency
2022-04-14,ASML.AS,536.1182861328125,EUR
2022-04-14,BNP.PA,36.70535659790039,EUR
2022-04-14,MSFT,270.70068359375,USD
2022-04-14,SHELL.AS,22.324893951416016,EUR
2022-04-15,7203.T,1920.8326416015625,JPY
2022-04-15,AAPL,161.94859313964844,USD
2022-04-15,ASML.AS,536.1182861328125,EUR
2022-04-15,BNP.PA,36.70535659790039,EUR
2022-04-15,MSFT,270.70068359375,USD
2022-04-15,SHELL.AS,22.324893951416016,EUR
2022-04-18,7203.T,1916.3863525390625,JPY
2022-04-18,AAPL,161.73304748535156,USD
2022-04-18,ASML.AS,536.1182861328125,EUR
2022-04-18,BNP.PA,36.70535659790039,EUR
2022-04-18,MSFT,271.36822509765625,USD
2022-04-18,SHELL.AS,22.324893951416016,EUR
2022-04-19,7203.T,1935.9501953125,JPY
2022-04-19,AAPL,164.01593017578125,USD
2022-04-19,ASML.AS,538.9010009765625,EUR
2022-04-19,BNP.PA,36.88330841064453,EUR
2022-04-19,MSFT,275.9922790527344,USD
2022-04-19,SHELL.AS,22.59453010559082,EUR
2022-04-20,7203.T,2008.4261474609375,JPY
2022-04-20,AAPL,163.84934997558594,USD
2022-04-20,ASML.AS,567.4965209960938,EUR
2022-04-20,BNP.PA,37.98435592651367,EUR
2022-04-20,MSFT,277.0177001953125,USD
2022-04-20,SHELL.AS,22.337533950805664,EUR
2022-04-21,7203.T,2000.867431640625,JPY
2022-04-21,AAPL,163.05575561523438,USD
2022-04-21,ASML.AS,560.3955688476562,EUR
2022-04-21,BNP.PA,38.85184860229492,EUR
2022-04-21,MSFT,271.64874267578125,USD
2022-04-21,SHELL.AS,22.506052017211914,EUR
2022-04-22,7203.T,1965.29638671875,JPY
2022-04-22,AAPL,158.51934814453125,USD
2022-04-22,ASML.AS,548.113037109375,EUR
2022-04-22,BNP.PA,38.355079650878906,EUR
2022-04-22,MSFT,265.0899658203125,USD
2022-04-22,SHELL.AS,21.970998764038086,EUR
2022-04-25,7203.T,1947.5108642578125,JPY
2022-04-25,AAPL,159.58734130859375,USD
2022-04-25,ASML.AS,525.562744140625,EUR
2022-04-25,BNP.PA,37.70260238647461,EUR
2022-04-25,MSFT,271.5616760253906,USD
2022-04-25,SHELL.AS,20.73657989501953,EUR
2022-04-26,7203.T,1938.6180419921875,JPY
2022-04-26,AAPL,153.63021850585938,USD
2022-04-26,ASML.AS,508.00244140625,EUR
2022-04-26,BNP.PA,37.39861297607422,EUR
2022-04-26,MSFT,261.40423583984375,USD
2022-04-26,SHELL.AS,21.178951263427734,EUR
2022-04-27,7203.T,1925.7236328125,JPY
2022-04-27,AAPL,153.40489196777344,USD
2022-04-27,ASML.AS,507.3306884765625,EUR
2022-04-27,BNP.PA,36.88330841064453,EUR
2022-04-27,MSFT,273.9801025390625,USD
2022-04-27,SHELL.AS,21.32219123840332,EUR
2022-04-28,7203.T,1987.9727783203125,JPY
2022-04-28,AAPL,160.3319549560547,USD
2022-04-28,ASML.AS,526.5223388671875,EUR
2022-04-28,BNP.PA,36.671993255615234,EUR
2022-04-28,MSFT,280.18096923828125,USD
2022-04-28,SHELL.AS,21.80247688293457,EUR
2022-04-29,7203.T,1987.9727783203125,JPY
2022-04-29,AAPL,154.4630126953125,USD
